#Training input, Training Output
5.2,1.8762
4,2.5894
0.65,1.0058
1.05,0.97346
0.15,0.29777
0.75,1.0537
3.65,2.1827
3.6,2.0897
5,1.956
4.65,2.2867
5.4,1.9351
0.8,1.0636
5.1,1.9011
1.8,-0.11852
3.85,2.4704
5.85,2.6603
2.45,-0.3822
6.05,3.2106
5.8,2.5412
2.5,-0.33392
4.8,2.1297
4.1,2.6217
1.75,-0.044533
4.3,2.5834
0.55,0.92146
5.7,2.3297
1.3,0.6845
2.9,0.3764
2.05,-0.39803
4.7,2.2338
2.75,0.05071
2.95,0.49637
2.65,-0.13002
2.15,-0.45392
2.55,-0.27556
5.5,2.025
4.4,2.5209
5.75,2.4308
1.6,0.19763
0.7,1.0344
3.35,1.5271
4.2,2.6186
0.95,1.0366
4.05,2.6101
1.95,-0.30752
2.85,0.26156
6.2,3.6784
3.1,0.87791
3.5,1.882
1.15,0.87796
